,x_coor,y_coor,stop_name,get_on,time_to_school,z
0,19.048349,47.477499,Móricz Zsigmond körtér M,7:20:00,30,8868.936992058498
1,19.054107,47.475827,Budafoki út / Karinthy Frigyes út,7:22:00,28,16250.350214447495
2,19.059586,47.476933,"Petőfi híd, budai hídfő",7:23:00,27,19842.870460745202
3,19.066698,47.480376,Boráros tér H,7:25:00,25,9295.32087855548
4,19.068848,47.482751,Mester utca / Ferenc körút,7:27:00,23,7057.556043825248
5,19.069898,47.485476,Corvin-negyed M,7:28:00,22,5712.810870659198
6,19.070815,47.490332,Harminckettesek tere,7:30:00,20,4307.980363321275
7,19.071188,47.492851,Rákóczi tér M,7:31:00,19,3817.7015466969683
8,19.070699,47.496781,Blaha Lujza tér M,7:33:00,17,3265.506780638662
9,19.068948,47.500325,Wesselényi utca / Erzsébet körút,7:34:00,16,2901.931382985567
10,19.06583,47.503249,Király utca / Erzsébet körút,7:35:00,15,2663.313250141684
11,19.062406,47.505939,Oktogon M,7:37:00,13,2464.2447716076467
12,19.056168,47.510274,Nyugati pályaudvar M,7:39:00,11,2176.089060954404
13,19.048177,47.513099,Jászai Mari tér,7:41:00,9,1989.0675273880638
14,19.042521,47.514717,Margitsziget / Margit híd,7:43:00,7,1876.0311184392958
15,19.038193,47.514618,"Margit híd, budai hídfő H",7:44:00,6,1842.3054072355396
16,19.031462,47.510778,Mechwart liget,7:46:00,4,1916.9651144090487
17,19.026739,47.508114,Széna tér,7:48:00,2,1949.8538645050185
18,19.024496,47.507358,Széll Kálmán tér M,7:50:00,0,1939.8185283046578
19,19.048349,47.477499,Móricz Zsigmond körtér M,7:36:00,14,8868.936992058498
20,19.054107,47.475827,Budafoki út / Karinthy Frigyes út,7:38:00,12,16250.350214447495
21,19.059586,47.476933,"Petőfi híd, budai hídfő",7:39:00,11,19842.870460745202
22,19.066698,47.480376,Boráros tér H,7:41:00,9,9295.32087855548
23,19.068848,47.482751,Mester utca / Ferenc körút,7:43:00,7,7057.556043825248
24,19.069898,47.485476,Corvin-negyed M,7:44:00,6,5712.810870659198
25,19.070815,47.490332,Harminckettesek tere,7:46:00,4,4307.980363321275
26,19.071188,47.492851,Rákóczi tér M,7:47:00,3,3817.7015466969683
27,19.070699,47.496781,Blaha Lujza tér M,7:49:00,1,3265.506780638662
28,19.068948,47.500325,Wesselényi utca / Erzsébet körút,7:50:00,0,2901.931382985567
38,19.046863,47.474045,Újbuda-központ M,7:14:00,36,9047.493097118766
39,19.053736,47.474091,Budafoki út / Szerémi sor,7:16:00,34,18281.29510433255
40,19.059586,47.476933,"Petőfi híd, budai hídfő",7:17:00,33,19842.870460745202
41,19.066698,47.480376,Boráros tér H,7:19:00,31,9295.32087855548
42,19.068848,47.482751,Mester utca / Ferenc körút,7:21:00,29,7057.556043825248
43,19.069898,47.485476,Corvin-negyed M,7:22:00,28,5712.810870659198
44,19.070815,47.490332,Harminckettesek tere,7:24:00,26,4307.980363321275
45,19.071188,47.492851,Rákóczi tér M,7:25:00,25,3817.7015466969683
46,19.070699,47.496781,Blaha Lujza tér M,7:27:00,23,3265.506780638662
47,19.068948,47.500325,Wesselényi utca / Erzsébet körút,7:28:00,22,2901.931382985567
48,19.06583,47.503249,Király utca / Erzsébet körút,7:29:00,21,2663.313250141684
49,19.062406,47.505939,Oktogon M,7:31:00,19,2464.2447716076467
50,19.056168,47.510274,Nyugati pályaudvar M,7:33:00,17,2176.089060954404
51,19.048177,47.513099,Jászai Mari tér,7:35:00,15,1989.0675273880638
52,19.042521,47.514717,Margitsziget / Margit híd,7:37:00,13,1876.0311184392958
53,19.038193,47.514618,"Margit híd, budai hídfő H",7:38:00,12,1842.3054072355396
54,19.031462,47.510778,Mechwart liget,7:40:00,10,1916.9651144090487
55,19.026739,47.508114,Széna tér,7:42:00,8,1949.8538645050185
56,19.024496,47.507358,Széll Kálmán tér M,7:44:00,6,1939.8185283046578
57,19.048349,47.477499,Móricz Zsigmond körtér M,7:16:00,34,8868.936992058498
58,19.054107,47.475827,Budafoki út / Karinthy Frigyes út,7:18:00,32,16250.350214447495
59,19.059586,47.476933,"Petőfi híd, budai hídfő",7:19:00,31,19842.870460745202
60,19.066698,47.480376,Boráros tér H,7:21:00,29,9295.32087855548
61,19.068848,47.482751,Mester utca / Ferenc körút,7:23:00,27,7057.556043825248
62,19.069898,47.485476,Corvin-negyed M,7:24:00,26,5712.810870659198
63,19.070815,47.490332,Harminckettesek tere,7:26:00,24,4307.980363321275
64,19.071188,47.492851,Rákóczi tér M,7:27:00,23,3817.7015466969683
65,19.070699,47.496781,Blaha Lujza tér M,7:29:00,21,3265.506780638662
66,19.068948,47.500325,Wesselényi utca / Erzsébet körút,7:30:00,20,2901.931382985567
67,19.06583,47.503249,Király utca / Erzsébet körút,7:31:00,19,2663.313250141684
68,19.062406,47.505939,Oktogon M,7:33:00,17,2464.2447716076467
69,19.056168,47.510274,Nyugati pályaudvar M,7:35:00,15,2176.089060954404
70,19.048177,47.513099,Jászai Mari tér,7:37:00,13,1989.0675273880638
71,19.042521,47.514717,Margitsziget / Margit híd,7:39:00,11,1876.0311184392958
72,19.038193,47.514618,"Margit híd, budai hídfő H",7:40:00,10,1842.3054072355396
73,19.031462,47.510778,Mechwart liget,7:42:00,8,1916.9651144090487
74,19.026739,47.508114,Széna tér,7:44:00,6,1949.8538645050185
75,19.024496,47.507358,Széll Kálmán tér M,7:46:00,4,1939.8185283046578
76,19.046863,47.474045,Újbuda-központ M,7:18:00,32,9047.493097118766
77,19.053736,47.474091,Budafoki út / Szerémi sor,7:20:00,30,18281.29510433255
78,19.059586,47.476933,"Petőfi híd, budai hídfő",7:21:00,29,19842.870460745202
79,19.066698,47.480376,Boráros tér H,7:23:00,27,9295.32087855548
80,19.068848,47.482751,Mester utca / Ferenc körút,7:25:00,25,7057.556043825248
81,19.069898,47.485476,Corvin-negyed M,7:26:00,24,5712.810870659198
82,19.070815,47.490332,Harminckettesek tere,7:28:00,22,4307.980363321275
83,19.071188,47.492851,Rákóczi tér M,7:29:00,21,3817.7015466969683
84,19.070699,47.496781,Blaha Lujza tér M,7:31:00,19,3265.506780638662
