agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color,route_sort_order
BKK,0330,33,,3,"Móricz Zsigmond körtér M / Nagytétény, ipartelep",009EE3,FFFFFF,59
BKK,1070,107,,3,BudaPart / Keleti pályaudvar M,009EE3,FFFFFF,158
BKK,1335,133E,,3,"Újpalota, Nyírpalota út / Nagytétény, Erdélyi utca",009EE3,FFFFFF,188
BKK,1530,153,,3,Infopark (Pázmány Péter sétány) / Gazdagréti tér,009EE3,FFFFFF,209
BKK,1540,154,,3,BudaPart / Gazdagréti tér,009EE3,FFFFFF,210
BKK,2120,212,,3,"Boráros tér H / Normafa, látogatóközpont",009EE3,FFFFFF,258
BKK,2121,212A,,3,Boráros tér H / Svábhegy,009EE3,FFFFFF,259
BKK,2122,212B,,3,"Boráros tér H / Csillebérc, KFKI",009EE3,FFFFFF,260
BKK,3010,1,,0,Kelenföld vasútállomás M / Bécsi út / Vörösvári út,FFD800,000000,14
BKK,3040,4,,0,Széll Kálmán tér M / Újbuda-központ M,FFD800,000000,22
BKK,3060,6,,0,Széll Kálmán tér M / Móricz Zsigmond körtér M,FFD800,000000,24
BKK,3170,17,,0,Savoya Park / Bécsi út / Vörösvári út,FFD800,000000,39
BKK,3410,41,,0,Bécsi út / Vörösvári út / Budafok kocsiszín,FFD800,000000,72
