,trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,route_id,service_id,direction_id,shape_id,stop_name,stop_code,location_type,location_sub_type,parent_station,wheelchair_boarding,stop_direction,geometry,short_names
15118,C34268105116,F01082,26220.0,26220.0,11,Széll Kálmán tér M,,,4773.0,3060,C34268REHHKMK-011,1,B692,Oktogon M,,,,,1.0,-43,POINT (19.062406 47.505939),6
15119,C34268105116,F00933,26340.0,26340.0,12,Széll Kálmán tér M,,,5454.0,3060,C34268REHHKMK-011,1,B692,Nyugati pályaudvar M,,,,,1.0,-56,POINT (19.056168 47.510274),6
15120,C34268105116,F00925,26460.0,26460.0,13,Széll Kálmán tér M,,,6141.0,3060,C34268REHHKMK-011,1,B692,Jászai Mari tér,,,,,1.0,-67,POINT (19.048177 47.513099),6
15121,C34268105116,F00141,26580.0,26580.0,14,Széll Kálmán tér M,,,6621.0,3060,C34268REHHKMK-011,1,B692,Margitsziget / Margit híd,,,,,1.0,-93,POINT (19.042521 47.514717),6
15122,C34268105116,F00192,26640.0,26640.0,15,Széll Kálmán tér M,,,6953.0,3060,C34268REHHKMK-011,1,B692,"Margit híd, budai hídfő H",,,,,1.0,-92,POINT (19.038193 47.514618),6
15123,C34268105116,F00198,26760.0,26760.0,16,Széll Kálmán tér M,,,7695.0,3060,C34268REHHKMK-011,1,B692,Mechwart liget,,,,,1.0,-119,POINT (19.031462 47.510778),6
15124,C34268105116,F00307,26880.0,26880.0,17,Széll Kálmán tér M,,,8169.0,3060,C34268REHHKMK-011,1,B692,Széna tér,,,,,1.0,-143,POINT (19.026739 47.508114),6
15125,C34268105116,F02476,27000.0,27000.0,18,Széll Kálmán tér M,1.0,,8385.0,3060,C34268REHHKMK-011,1,B692,Széll Kálmán tér M,,,,,1.0,-82,POINT (19.024496 47.507358),6
15126,C34268106997,009220,26400.0,26400.0,0,Széll Kálmán tér M,,1,0.0,3060,C34268REHHKMK-011,1,B692,Móricz Zsigmond körtér M,,,,,1.0,,POINT (19.048349 47.477499),6
15127,C34268106997,F02153,26520.0,26520.0,1,Széll Kálmán tér M,,,477.0,3060,C34268REHHKMK-011,1,B692,Budafoki út / Karinthy Frigyes út,,,,,1.0,114,POINT (19.054107 47.475827),6
15128,C34268106997,F02225,26580.0,26580.0,2,Széll Kálmán tér M,,,960.0,3060,C34268REHHKMK-011,1,B692,"Petőfi híd, budai hídfő",,,,,1.0,54,POINT (19.059586 47.476933),6
15129,C34268106997,F01374,26700.0,26700.0,3,Széll Kálmán tér M,,,1622.0,3060,C34268REHHKMK-011,1,B692,Boráros tér H,,,,,2.0,54,POINT (19.066698 47.480376),6
15130,C34268106997,F01380,26820.0,26820.0,4,Széll Kálmán tér M,,,1942.0,3060,C34268REHHKMK-011,1,B692,Mester utca / Ferenc körút,,,,,1.0,14,POINT (19.068848 47.482751),6
15131,C34268106997,F01191,26880.0,26880.0,5,Széll Kálmán tér M,,,2260.0,3060,C34268REHHKMK-011,1,B692,Corvin-negyed M,,,,,1.0,15,POINT (19.069898 47.485476),6
15132,C34268106997,F01199,27000.0,27000.0,6,Széll Kálmán tér M,,,2807.0,3060,C34268REHHKMK-011,1,B692,Harminckettesek tere,,,,,1.0,6,POINT (19.070815 47.490332),6
15133,C34268106997,F01200,27060.0,27060.0,7,Széll Kálmán tér M,,,3089.0,3060,C34268REHHKMK-011,1,B692,Rákóczi tér M,,,,,1.0,5,POINT (19.071188 47.492851),6
15134,C34268106997,F01168,27180.0,27180.0,8,Széll Kálmán tér M,,,3535.0,3060,C34268REHHKMK-011,1,B692,Blaha Lujza tér M,,,,,1.0,-10,POINT (19.070699 47.496781),6
15135,C34268106997,F01111,27240.0,27240.0,9,Széll Kálmán tér M,,,3965.0,3060,C34268REHHKMK-011,1,B692,Wesselényi utca / Erzsébet körút,,,,,1.0,-28,POINT (19.068948 47.500325),6
15136,C34268106997,F01035,27300.0,27300.0,10,Széll Kálmán tér M,,,4369.0,3060,C34268REHHKMK-011,1,B692,Király utca / Erzsébet körút,,,,,1.0,-37,POINT (19.06583 47.503249),6
15137,C34268106997,F01082,27420.0,27420.0,11,Széll Kálmán tér M,,,4773.0,3060,C34268REHHKMK-011,1,B692,Oktogon M,,,,,1.0,-43,POINT (19.062406 47.505939),6
15138,C34268106997,F00933,27540.0,27540.0,12,Széll Kálmán tér M,,,5454.0,3060,C34268REHHKMK-011,1,B692,Nyugati pályaudvar M,,,,,1.0,-56,POINT (19.056168 47.510274),6
15139,C34268106997,F00925,27660.0,27660.0,13,Széll Kálmán tér M,,,6141.0,3060,C34268REHHKMK-011,1,B692,Jászai Mari tér,,,,,1.0,-67,POINT (19.048177 47.513099),6
15140,C34268106997,F00141,27780.0,27780.0,14,Széll Kálmán tér M,,,6621.0,3060,C34268REHHKMK-011,1,B692,Margitsziget / Margit híd,,,,,1.0,-93,POINT (19.042521 47.514717),6
15141,C34268106997,F00192,27840.0,27840.0,15,Széll Kálmán tér M,,,6953.0,3060,C34268REHHKMK-011,1,B692,"Margit híd, budai hídfő H",,,,,1.0,-92,POINT (19.038193 47.514618),6
15142,C34268106997,F00198,27960.0,27960.0,16,Széll Kálmán tér M,,,7695.0,3060,C34268REHHKMK-011,1,B692,Mechwart liget,,,,,1.0,-119,POINT (19.031462 47.510778),6
15143,C34268106997,F00307,28080.0,28080.0,17,Széll Kálmán tér M,,,8169.0,3060,C34268REHHKMK-011,1,B692,Széna tér,,,,,1.0,-143,POINT (19.026739 47.508114),6
17506,C3426814107,009220,27360.0,27360.0,0,Széll Kálmán tér M,,1,0.0,3060,C34268REHHKMK-011,1,B692,Móricz Zsigmond körtér M,,,,,1.0,,POINT (19.048349 47.477499),6
17507,C3426814107,F02153,27480.0,27480.0,1,Széll Kálmán tér M,,,477.0,3060,C34268REHHKMK-011,1,B692,Budafoki út / Karinthy Frigyes út,,,,,1.0,114,POINT (19.054107 47.475827),6
17508,C3426814107,F02225,27540.0,27540.0,2,Széll Kálmán tér M,,,960.0,3060,C34268REHHKMK-011,1,B692,"Petőfi híd, budai hídfő",,,,,1.0,54,POINT (19.059586 47.476933),6
17509,C3426814107,F01374,27660.0,27660.0,3,Széll Kálmán tér M,,,1622.0,3060,C34268REHHKMK-011,1,B692,Boráros tér H,,,,,2.0,54,POINT (19.066698 47.480376),6
17510,C3426814107,F01380,27780.0,27780.0,4,Széll Kálmán tér M,,,1942.0,3060,C34268REHHKMK-011,1,B692,Mester utca / Ferenc körút,,,,,1.0,14,POINT (19.068848 47.482751),6
17511,C3426814107,F01191,27840.0,27840.0,5,Széll Kálmán tér M,,,2260.0,3060,C34268REHHKMK-011,1,B692,Corvin-negyed M,,,,,1.0,15,POINT (19.069898 47.485476),6
17512,C3426814107,F01199,27960.0,27960.0,6,Széll Kálmán tér M,,,2807.0,3060,C34268REHHKMK-011,1,B692,Harminckettesek tere,,,,,1.0,6,POINT (19.070815 47.490332),6
17513,C3426814107,F01200,28020.0,28020.0,7,Széll Kálmán tér M,,,3089.0,3060,C34268REHHKMK-011,1,B692,Rákóczi tér M,,,,,1.0,5,POINT (19.071188 47.492851),6
